songID,title,year
1,Like a Rolling Stone,1965
2,Satisfaction,1965
3,Imagine,1971
4,What's Going On,1971
5,Respect,1967
6,Good Vibrations,1966
7,Johnny B. Goode,1958
8,Hey Jude,1968
9,Smells Like Teen Spirit,1991
10,What'd I Say,1959
11,My Generation,1965
12,A Change is Gonna Come,1964
13,Yesterday,1965
14,Blowin' in the Wind,1963
